Country,ninetythree,ninetyfour,ninetyfive,ninetysix,ninetyseven,ninetyeight,ninetynine,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twentyone
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,102,0,8,10,0,0,0,0,0,0,0
Singapore,6549,6102,4838,2553,4317,9263,9219,5549,7696,6873,2461,3268,5228,6275,4293,649,1319,2268,919,709,5304,4252,6911,6810,7133,9367,9537,9131,11801
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,33,3,4,0,0,0
South Africa,0,0,56,48,69,65,213,706,90,236,408,83,322,2044,2637,113,611,103,263,541,212,239,167,138,122,384,11,3,5
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,1245,954,0
Spain,13545,13512,5790,10441,7723,6711,3768,8990,11159,6157,8679,8965,10067,17507,19401,16449,14928,14629,19419,15737,12120,17786,23002,18042,17855,19780,18490,11031,10752
Spratly Islands,0,0,0,0,0,0,0,0,0,0,0,650,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,631,98,24,0,0,0,0,0
Sweden,1213,2681,2028,1339,2617,2114,2085,10075,8360,5705,4423,10769,9593,10993,9118,10523,6208,6461,9169,3719,1511,3814,1648,4730,3666,4859,3993,5571,6059
Switzerland,0,0,0,0,344,0,0,281,0,27,0,288,8,0,3,33,0,0,0,36,0,374,2,2,4,7,6,15,264
Syria,8897,3853,2464,0,0,0,1017,1008,1223,3895,4600,3584,4410,2965,1402,2303,3003,3188,3403,0,0,0,0,0,0,0,0,0,0
Taiwan,0,0,27,0,0,0,0,26,2137,2695,2545,5822,7534,4075,7420,2125,4403,2073,695,2274,363,284,2453,1429,1870,2660,1838,1458,3134
Thailand,2147,3105,498,566,488,0,969,2303,2732,864,1031,563,955,3737,5993,5148,8419,4652,6580,7368,3174,2519,213,2,1268,1008,137,155,0
Togo,0,0,0,55,246,0,0,127,0,0,0,0,0,0,0,0,0,0,0,425,0,0,54,0,0,0,0,0,0
Trinidad,27021,28253,25404,27672,22402,24217,21185,31164,26282,29164,35809,32116,41056,42870,36365,22929,30717,26769,28024,24625,11757,9430,8087,10416,12642,9807,17271,14155,14452
Tunisia,0,0,0,654,439,413,0,1154,1680,352,425,1759,1433,1975,5003,3114,229,260,249,2477,2540,1420,424,312,752,848,0,0,0
Turkey,0,0,432,1039,230,778,770,1621,1638,4663,4130,1722,7590,4618,4719,2933,978,1875,682,1397,1429,789,459,799,3075,4889,6995,5477,14442
Turkmenistan,0,0,0,0,0,0,0,0,0,209,19,182,1618,323,1742,809,870,336,111,439,10,0,830,0,0,15,198,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,352,888,1699,403,2171,2078,3405,1778,1556,210,324,0,0,42,0,22,0,26
United Kingdom,127703,167196,139825,112696,82561,91153,133067,133799,118332,174554,160520,139223,144674,99330,101181,86512,89332,93413,58216,54484,53829,42564,44828,44586,40624,53171,53371,31214,37862
Uruguay,0,0,0,0,117,0,0,0,0,0,0,2064,1165,932,234,37,38,0,0,76,147,0,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
Vietnam,0,0,346,4999,1557,6993,4876,3303,9432,7555,9209,9256,11400,15545,11156,10628,9810,4471,3583,3594,4586,3743,3320,1403,2307,788,0,614,0
Virgin Islands,92795,119571,101323,114589,109531,106892,102057,106681,97672,86022,104981,120860,119544,119607,126129,117262,101224,92456,68048,4362,0,0,0,21,0,0,0,204,8110
Yemen,5278,9576,1895,782,304,2296,876,9802,9187,9977,2130,1722,4806,7525,4837,0,0,0,2277,0,0,0,0,0,855,0,0,0,0
